Bug_ID,Version,Affected_File(s)
HIVE-13676,2.0.0,hcatalog/core/src/test/java/org/apache/hive/hcatalog/mapreduce/TestHCatMultiOutputFormat.java;hcatalog/webhcat/java-client/src/test/java/org/apache/hive/hcatalog/api/TestHCatClient.java;itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/TestMarkPartitionRemote.java;metastore/src/java/org/apache/hadoop/hive/metastore/MetaStoreUtils.java;metastore/src/test/org/apache/hadoop/hive/metastore/TestHiveMetaStoreGetMetaConf.java;metastore/src/test/org/apache/hadoop/hive/metastore/TestHiveMetaStorePartitionSpecs.java;ql/src/test/org/apache/hadoop/hive/ql/metadata/TestHiveRemote.java
HIVE-13619,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/OperatorUtils.java
HIVE-13618,2.0.0,metastore/src/java/org/apache/hadoop/hive/metastore/ObjectStore.java
HIVE-13608,2.0.0,itests/util/src/main/java/org/apache/hadoop/hive/ql/QTestUtil.java;metastore/src/java/org/apache/hadoop/hive/metastore/RetryingMetaStoreClient.java
HIVE-13602,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/metadata/VirtualColumn.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/ConstantPropagateProcCtx.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/ConstantPropagateProcFactory.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/SortedDynPartitionOptimizer.java
HIVE-13570,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/ColumnPrunerProcCtx.java
HIVE-13561,2.0.0,itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcWithMiniHS2.java;ql/src/java/org/apache/hadoop/hive/ql/exec/Registry.java
HIVE-13553,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
HIVE-13542,2.0.0,itests/util/src/main/java/org/apache/hadoop/hive/ql/QTestUtil.java
HIVE-13523,2.0.0,orc/src/java/org/apache/orc/DataReader.java;orc/src/java/org/apache/orc/DataReaderFactory.java;orc/src/java/org/apache/orc/MetadataReaderFactory.java;orc/src/java/org/apache/orc/impl/DataReaderProperties.java;orc/src/java/org/apache/orc/impl/DefaultMetadataReaderFactory.java;orc/src/java/org/apache/orc/impl/MetadataReader.java;orc/src/java/org/apache/orc/impl/MetadataReaderImpl.java;orc/src/java/org/apache/orc/impl/MetadataReaderProperties.java;orc/src/test/org/apache/orc/impl/TestDataReaderProperties.java;orc/src/test/org/apache/orc/impl/TestMetadataReaderProperties.java;ql/src/java/org/apache/hadoop/hive/ql/io/orc/DefaultDataReaderFactory.java;ql/src/java/org/apache/hadoop/hive/ql/io/orc/ReaderImpl.java;ql/src/java/org/apache/hadoop/hive/ql/io/orc/RecordReaderImpl.java;ql/src/java/org/apache/hadoop/hive/ql/io/orc/RecordReaderUtils.java;ql/src/test/org/apache/hadoop/hive/ql/io/orc/TestRecordReaderImpl.java
HIVE-13512,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/plan/TezWork.java;ql/src/test/org/apache/hadoop/hive/ql/plan/TestTezWorkConcurrency.java
HIVE-13463,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/parse/ImportSemanticAnalyzer.java
HIVE-13452,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java
HIVE-13440,2.0.0,service/src/gen/thrift/gen-cpp/ThriftHive.cpp;service/src/gen/thrift/gen-cpp/ThriftHive_server.skeleton.cpp;service/src/gen/thrift/gen-cpp/hive_service_constants.cpp;service/src/gen/thrift/gen-cpp/hive_service_types.cpp;service/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/service/HiveClusterStatus.java;service/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/service/HiveServerException.java;service/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/service/JobTrackerState.java;service/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/service/ThriftHive.java
HIVE-13439,2.0.0,itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcDriver2.java;jdbc/src/java/org/apache/hive/jdbc/HiveStatement.java
HIVE-13428,2.0.0,llap-server/src/java/org/apache/hadoop/hive/llap/security/SecretManager.java
HIVE-13423,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFSum.java
HIVE-13410,2.0.0,common/src/java/org/apache/hadoop/hive/ql/log/PerfLogger.java;itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/TestMetaStoreMetrics.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/miniHS2/TestHs2Metrics.java;ql/src/java/org/apache/hadoop/hive/ql/Driver.java
HIVE-13405,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcRawRecordMerger.java
HIVE-13395,2.0.0,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java;itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/TestHiveMetaStoreTxns.java;metastore/src/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java;metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnDbUtil.java;metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java;metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnStore.java;metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnUtils.java;metastore/src/test/org/apache/hadoop/hive/metastore/txn/TestCompactionTxnHandler.java;metastore/src/test/org/apache/hadoop/hive/metastore/txn/TestTxnHandler.java;ql/src/java/org/apache/hadoop/hive/ql/ErrorMsg.java;ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbLockManager.java;ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbTxnManager.java;ql/src/java/org/apache/hadoop/hive/ql/txn/AcidWriteSetService.java;ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/HouseKeeperServiceBase.java;ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Initiator.java;ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Worker.java;ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands2.java;ql/src/test/org/apache/hadoop/hive/ql/io/TestAcidUtils.java;ql/src/test/org/apache/hadoop/hive/ql/lockmgr/TestDbTxnManager.java;ql/src/test/org/apache/hadoop/hive/ql/lockmgr/TestDbTxnManager2.java;ql/src/test/org/apache/hadoop/hive/ql/txn/compactor/TestCleaner.java
HIVE-13394,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFComputeStats.java
HIVE-13390,2.0.0,itests/hive-unit/src/main/java/org/apache/hive/jdbc/miniHS2/MiniHS2.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestSSL.java;jdbc/src/java/org/apache/hive/jdbc/HiveConnection.java;service/src/java/org/apache/hive/service/auth/HiveAuthFactory.java
HIVE-13383,2.1.0,metastore/src/java/org/apache/hadoop/hive/metastore/RetryingMetaStoreClient.java
HIVE-13381,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionRegistry.java;ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContext.java;ql/src/test/org/apache/hadoop/hive/ql/exec/TestFunctionRegistry.java;ql/src/test/org/apache/hadoop/hive/ql/exec/vector/TestVectorizationContext.java
HIVE-13373,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/parse/TypeCheckProcFactory.java
HIVE-13361,2.1.0,orc/src/java/org/apache/orc/OrcFile.java;orc/src/java/org/apache/orc/impl/WriterImpl.java;ql/src/java/org/apache/hadoop/hive/ql/exec/OrcFileMergeOperator.java
HIVE-13333,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java
HIVE-13330,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/TreeReaderFactory.java
HIVE-13326,2.0.0,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java;itests/hive-unit/src/main/java/org/apache/hive/jdbc/miniHS2/MiniHS2.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcWithLocalClusterSpark.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcWithMiniMr.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestMultiSessionsHS2WithLocalClusterSpark.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestServiceDiscoveryWithMiniHS2.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/authorization/TestHS2AuthzContext.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/authorization/TestJdbcMetadataApiAuth.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/authorization/TestJdbcWithSQLAuthorization.java;jdbc/src/java/org/apache/hive/jdbc/ZooKeeperHiveClientHelper.java;service/src/java/org/apache/hive/service/server/HiveServer2.java
HIVE-13320,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToByte.java;ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToDouble.java;ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToFloat.java;ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToInteger.java;ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToLong.java;ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToShort.java
HIVE-13300,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/spark/SparkReduceRecordHandler.java
HIVE-13299,2.0.0,metastore/src/java/org/apache/hadoop/hive/metastore/ObjectStore.java;metastore/src/java/org/apache/hadoop/hive/metastore/hbase/HBaseStore.java
HIVE-13293,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/spark/SortByShuffler.java;ql/src/java/org/apache/hadoop/hive/ql/exec/spark/SparkPlanGenerator.java
HIVE-13286,2.0.0,cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java;itests/hive-unit/src/test/java/org/apache/hive/service/cli/session/TestHiveSessionImpl.java;ql/src/java/org/apache/hadoop/hive/ql/Driver.java;service/src/java/org/apache/hive/service/cli/session/HiveSessionImpl.java
HIVE-13285,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/AbstractFileMergeOperator.java;ql/src/java/org/apache/hadoop/hive/ql/exec/OrcFileMergeOperator.java
HIVE-13261,2.0.0,metastore/src/java/org/apache/hadoop/hive/metastore/ObjectStore.java
HIVE-13260,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/correlation/ReduceSinkDeDuplication.java
HIVE-13240,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/GroupByOperator.java;ql/src/java/org/apache/hadoop/hive/ql/exec/ReduceSinkOperator.java
HIVE-13236,2.0.0,llap-server/src/java/org/apache/hadoop/hive/llap/security/SecretManager.java
HIVE-13217,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/SparkHashTableSinkOperator.java
HIVE-13216,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/ReaderImpl.java
HIVE-13201,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/ErrorMsg.java;ql/src/java/org/apache/hadoop/hive/ql/exec/DDLTask.java
HIVE-13200,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/MetadataOnlyOptimizer.java;ql/src/java/org/apache/hadoop/hive/ql/plan/TableScanDesc.java
HIVE-13191,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java;ql/src/java/org/apache/hadoop/hive/ql/plan/ExprNodeDescUtils.java
HIVE-13186,2.0.0,hcatalog/core/src/test/java/org/apache/hive/hcatalog/cli/TestSemanticAnalysis.java;metastore/src/java/org/apache/hadoop/hive/metastore/HiveAlterHandler.java
HIVE-13175,2.0.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/TestHiveMetaStore.java;metastore/src/java/org/apache/hadoop/hive/metastore/TransactionalValidationListener.java
HIVE-13174,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/Vectorizer.java
HIVE-13169,2.0.0,itests/hive-unit-hadoop2/src/test/java/org/apache/hadoop/hive/thrift/TestHadoopAuthBridge23.java;itests/hive-unit/src/test/java/org/apache/hadoop/hive/thrift/TestZooKeeperTokenStore.java;jdbc/src/java/org/apache/hive/jdbc/HiveConnection.java;jdbc/src/java/org/apache/hive/jdbc/HttpTokenAuthInterceptor.java;metastore/src/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java;service/src/java/org/apache/hive/service/auth/HiveAuthFactory.java;service/src/java/org/apache/hive/service/cli/CLIService.java;service/src/java/org/apache/hive/service/cli/session/HiveSessionImpl.java;service/src/java/org/apache/hive/service/cli/session/HiveSessionImplwithUGI.java;service/src/java/org/apache/hive/service/cli/thrift/ThriftHttpCLIService.java;service/src/java/org/apache/hive/service/cli/thrift/ThriftHttpServlet.java;shims/common/src/main/java/org/apache/hadoop/hive/thrift/DelegationTokenSecretManager.java;shims/common/src/main/java/org/apache/hadoop/hive/thrift/HadoopThriftAuthBridge.java;shims/common/src/main/java/org/apache/hadoop/hive/thrift/HiveDelegationTokenManager.java;shims/common/src/main/java/org/apache/hadoop/hive/thrift/TokenStoreDelegationTokenSecretManager.java;shims/common/src/main/java/org/apache/hadoop/hive/thrift/ZooKeeperTokenStore.java
HIVE-13163,2.1.0,orc/src/java/org/apache/orc/impl/MemoryManager.java
