Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-15760,13039051,TezCompiler throws ConcurrentModificationException during cycle detection,djaiswal,prasanth_j,Critical,Closed,Fixed,31/Jan/17 01:04,25/Jul/17 20:05,
Bug,HIVE-15754,13038985,exchange partition is not generating notifications,vaidyand,vaidyand,Critical,Resolved,Fixed,30/Jan/17 19:42,21/Jul/17 18:36,
Bug,HIVE-15750,13038883,Fail schema discovery when two columns have similar names with different casing in Druid,jcamacho,nishantbangarwa,Major,Closed,Fixed,30/Jan/17 12:28,27/Feb/24 22:23,
Bug,HIVE-15739,13038275,Incorrect exception message in PartExprEvalUtils,mwagner,mwagner,Minor,Closed,Fixed,26/Jan/17 21:34,22/May/18 23:59,
Bug,HIVE-15686,13036717,Partitions on Remote HDFS break encryption-zone checks,mithun,mithun,Major,Resolved,Fixed,20/Jan/17 22:29,17/Aug/17 00:37,
Bug,HIVE-15685,13036716,count(distinct) generates different result than expected,pxiong,pxiong,Major,Closed,Fixed,20/Jan/17 22:21,25/Jul/17 20:04,
Bug,HIVE-15680,13036620,Incorrect results when hive.optimize.index.filter=true and same ORC table is referenced twice in query,erwaman,erwaman,Major,Closed,Fixed,20/Jan/17 17:21,11/Mar/19 11:22,
Bug,HIVE-15679,13036501,"Some metastore metrics always contains column=null (write_column_statistics, write_partition_column_statistics)",pvary,pvary,Trivial,Resolved,Fixed,20/Jan/17 10:33,21/Jul/17 18:36,
Bug,HIVE-15669,13036391,LLAP: Improve aging in shortest job first scheduler,prasanth_j,rajesh.balamohan,Major,Closed,Fixed,20/Jan/17 01:03,25/Jul/17 20:05,
Bug,HIVE-15667,13036246,TestBlobstoreCliDriver tests are failing due to output differences,spena,spena,Major,Resolved,Duplicate,19/Jan/17 15:52,25/Jan/17 16:04,
Bug,HIVE-15659,13035941,StackOverflowError when ClassLoader.loadClass for Spark,,csun,Major,Resolved,Invalid,18/Jan/17 17:56,19/Jan/17 16:43,
Bug,HIVE-15656,13035773,Place powermock in correct dependency management section root pom.xml,anishek,anishek,Minor,Resolved,Invalid,18/Jan/17 05:27,27/Feb/24 22:23,
Bug,HIVE-15655,13035765,Optimizer: Allow config option to disable n-way JOIN merging ,gopalv,gopalv,Major,Closed,Fixed,18/Jan/17 03:54,27/Feb/24 22:23,
Bug,HIVE-15654,13035757,TezJobMonitor is not writing some headers to log file,prasanth_j,sershe,Major,Resolved,Won't Fix,18/Jan/17 03:00,18/Jan/17 19:36,
Bug,HIVE-15651,13035702,LLAP: llap status tool enhancements,prasanth_j,prasanth_j,Major,Closed,Fixed,17/Jan/17 22:26,28/Jul/17 06:10,
Bug,HIVE-15650,13035681,LLAP: Set perflogger to DEBUG level for llap daemons,prasanth_j,gopalv,Major,Closed,Fixed,17/Jan/17 21:24,25/Jul/17 20:05,
Bug,HIVE-15648,13035517,Hive throws compilation error due to $powermock.version not being present in root pom,vgumashta,vgumashta,Major,Resolved,Invalid,17/Jan/17 12:11,27/Feb/24 22:23,
Bug,HIVE-15644,13035365,Collect LLAP's JVM metrics via Hive's JvmPauseMonitor,wzheng,wzheng,Major,Resolved,Fixed,17/Jan/17 00:10,21/Jul/17 18:36,
Bug,HIVE-15639,13035210,Hive/Druid integration: wrong semantics for ordering within groupBy queries,julianhyde,jcamacho,Critical,Closed,Fixed,16/Jan/17 12:55,27/Feb/24 22:23,
Bug,HIVE-15637,13035192,Hive/Druid integration: wrong semantics of groupBy query limit with granularity,julianhyde,jcamacho,Critical,Closed,Fixed,16/Jan/17 11:19,27/Feb/24 22:23,
Bug,HIVE-15636,13035188,Hive/Druid integration: wrong semantics of topN query limit with granularity,julianhyde,jcamacho,Critical,Closed,Fixed,16/Jan/17 11:06,27/Feb/24 22:23,
Bug,HIVE-15635,13035183,"Hive/Druid integration: timeseries query shows all days, even if no data",jcamacho,jcamacho,Critical,Closed,Fixed,16/Jan/17 10:38,27/Feb/24 22:23,
Bug,HIVE-15634,13035171,Hive/Druid integration: Timestamp column inconsistent w/o Fetch optimization,bslim,jcamacho,Critical,Resolved,Not A Problem,16/Jan/17 09:57,27/Feb/24 22:23,
Bug,HIVE-15633,13035164,Hive/Druid integration: Exception when time filter is not in datasource range,jcamacho,jcamacho,Major,Closed,Fixed,16/Jan/17 09:29,27/Feb/24 22:23,
Bug,HIVE-15632,13035162,Hive/Druid integration: Incorrect result - Limit on timestamp disappears,jcamacho,jcamacho,Critical,Closed,Fixed,16/Jan/17 09:21,27/Feb/24 22:23,
Bug,HIVE-15630,13034997,add operation handle before operation.run instead of after operation.run,zxu,zxu,Minor,Closed,Fixed,15/Jan/17 06:21,22/May/18 23:57,
Bug,HIVE-15589,13034011,Lengthen HIVE_TXN_TIMEOUT in TestDbTxnManager.setup to avoid unnecessary test failure,wzheng,wzheng,Major,Closed,Fixed,11/Jan/17 23:25,25/Jul/17 20:05,
Bug,HIVE-15583,13033722,CTAS query removes leading underscore from column names with CBO,jcamacho,jcamacho,Minor,Closed,Fixed,11/Jan/17 13:43,27/Feb/24 22:23,
Bug,HIVE-15576,13033555,Fix bug in QTestUtil where lines after a partial mask will not be masked,poeppt,poeppt,Major,Resolved,Fixed,10/Jan/17 23:53,21/Jul/17 18:36,
Bug,HIVE-15574,13033540,Beeline '-f <file>' finishes correctly but with a NullPointerException,vihangk1,spena,Minor,Resolved,Invalid,10/Jan/17 22:35,11/Jan/17 17:29,
Bug,HIVE-15563,13032915,Ignore Illegal Operation state transition exception in SQLOperation.runQuery to expose real exception.,zxu,zxu,Minor,Resolved,Fixed,08/Jan/17 21:57,21/Jul/17 18:36,
Bug,HIVE-15503,13030274,LLAP: Fix use of Runtime.getRuntime.maxMemory in Hive operators,prasanth_j,prasanth_j,Critical,Closed,Fixed,23/Dec/16 01:26,26/Jul/17 00:02,
Bug,HIVE-15494,13029957,Create perfLogger in method execute instead of class initialization for SparkTask,zxu,zxu,Minor,Resolved,Fixed,22/Dec/16 00:39,21/Jul/17 18:26,
Bug,HIVE-15493,13029956,Wrong result for LEFT outer join in Tez using MapJoinOperator,jcamacho,jcamacho,Critical,Closed,Fixed,22/Dec/16 00:31,27/Feb/24 22:24,
Bug,HIVE-15487,13029873,LLAP: Improvements to random selection while scheduling,prasanth_j,prasanth_j,Major,Closed,Fixed,21/Dec/16 19:50,26/Jul/17 00:03,
Bug,HIVE-15484,13029673,Fix PerfCliDriver test failures in master,jcamacho,prasanth_j,Major,Resolved,Fixed,21/Dec/16 08:56,27/Feb/24 22:23,
Bug,HIVE-15483,13029649,Database and table name is case sensitive when used in show grant,niklaus.xiao,niklaus.xiao,Minor,Closed,Fixed,21/Dec/16 06:48,22/May/18 23:58,
Bug,HIVE-15482,13029637,LLAP: When pre-emption is disabled task scheduler gets into loop,prasanth_j,prasanth_j,Critical,Closed,Fixed,21/Dec/16 05:53,26/Jul/17 00:03,
Bug,HIVE-15476,13029539,ObjectStore.getMTableColumnStatistics() should check if colNames is empty,aihuaxu,aihuaxu,Minor,Resolved,Fixed,20/Dec/16 19:25,21/Jul/17 18:26,
