Bug ID,Version,File
HIVE-20561,4.0.0,kafka-handler/src/java/org/apache/hadoop/hive/kafka/KafkaPullerRecordReader.java
HIVE-20511,4.0.0,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/utils/LogUtils.java
HIVE-20451,4.0.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/tools/TestSchemaToolCatalogOps.java
HIVE-20394,4.0.0,itests/util/src/main/java/org/apache/hadoop/hive/cli/control/CoreCompareCliDriver.java
HIVE-20258,4.0.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/ReplChangeManager.java
HIVE-20226,4.0.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/conf/MetastoreConf.java
HIVE-20209,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/metadata/events/EventUtils.java
HIVE-20192,3.1.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java
HIVE-20192,3.1.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/ObjectStore.java
HIVE-20098,4.0.0,standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/StatObjectConverter.java
HIVE-18767,3.1.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/utils/MetaStoreServerUtils.java
HIVE-18767,3.1.0,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/utils/TestMetaStoreServerUtils.java
HIVE-15190,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/VectorizedOrcAcidRowBatchReader.java
HIVE-14566,2.1.0,orc/src/test/org/apache/orc/TestOrcTimezone3.java
HIVE-13494,2.1.0,llap-server/src/java/org/apache/hadoop/hive/llap/metrics/LlapDaemonQueueMetrics.java
HIVE-22054,2.1.0,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/Warehouse.java
HIVE-22054,2.1.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java
HIVE-22033,2.3.5,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/security/TestTokenStoreDelegationTokenSecretManager.java
HIVE-22033,2.3.5,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/security/TokenStoreDelegationTokenSecretManager.java
HIVE-18859,2.1.1,standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java
HIVE-17942,2.1.1,itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/TestHiveMetaStoreAlterColumnPar.java
HIVE-17942,2.1.1,standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/HiveAlterHandler.java
HIVE-17832,2.1.1,standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/conf/MetastoreConf.java
HIVE-17659,2.1.0,itests/hive-minikdc/src/test/java/org/apache/hive/minikdc/TestJdbcWithDBTokenStoreNoDoAs.java
HIVE-16335,2.2.0,beeline/src/java/org/apache/hive/beeline/hs2connection/UserHS2ConnectionFileParser.java
HIVE-16061,2.1.1,ql/src/java/org/apache/hadoop/hive/ql/log/LogDivertAppender.java
HIVE-15820,2.1.1,beeline/src/test/org/apache/hive/beeline/TestCommands.java
HIVE-14446,2.2.0,common/src/test/org/apache/hive/common/util/TestBloomFilter.java
HIVE-24569,2.2.0,llap-server/src/java/org/apache/hadoop/hive/llap/log/LlapRandomAccessFileAppender.java
HIVE-24569,2.2.0,llap-server/src/test/org/apache/hadoop/hive/llap/daemon/LlapDaemonExtension.java
HIVE-24569,2.2.0,llap-server/src/test/org/apache/hadoop/hive/llap/daemon/LlapDaemonTestUtils.java
HIVE-24569,2.2.0,llap-server/src/test/org/apache/hadoop/hive/llap/daemon/impl/TestLlapDaemonLogging.java
HIVE-24569,2.2.0,testutils/src/java/org/apache/hive/testutils/junit/extensions/DoNothingTCPServer.java
HIVE-24569,2.2.0,testutils/src/java/org/apache/hive/testutils/junit/extensions/DoNothingTCPServerExtension.java
HIVE-24569,2.2.0,testutils/src/test/java/org/apache/hive/testutils/junit/extensions/TestDoNothingTCPServerExtension.java
HIVE-17240,2.2.0,vector-code-gen/src/org/apache/hadoop/hive/tools/GenVectorCode.java
HIVE-16832,2.2.0,ql/src/java/org/apache/hadoop/hive/ql/io/BucketCodec.java
HIVE-16832,2.2.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/VectorizedOrcAcidRowBatchReader.java
HIVE-16832,2.2.0,ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands2WithSplitUpdate.java
HIVE-16832,2.2.0,ql/src/test/org/apache/hadoop/hive/ql/io/orc/TestVectorizedOrcAcidRowBatchReader.java
HIVE-16465,2.2.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/VectorizedParquetRecordReader.java
HIVE-16329,2.2.0,llap-common/src/java/org/apache/hadoop/hive/llap/LlapDaemonInfo.java
HIVE-16254,2.2.0,metastore/src/java/org/apache/hadoop/hive/metastore/messaging/event/filters/AndFilter.java
HIVE-16254,2.2.0,metastore/src/java/org/apache/hadoop/hive/metastore/messaging/event/filters/BasicFilter.java
HIVE-16254,2.2.0,metastore/src/java/org/apache/hadoop/hive/metastore/messaging/event/filters/DatabaseAndTableFilter.java
HIVE-16254,2.2.0,metastore/src/java/org/apache/hadoop/hive/metastore/messaging/event/filters/EventBoundaryFilter.java
HIVE-16254,2.2.0,metastore/src/java/org/apache/hadoop/hive/metastore/messaging/event/filters/MessageFormatFilter.java
HIVE-16219,2.2.0,metastore/src/test/org/apache/hadoop/hive/metastore/messaging/json/JSONMessageDeserializerTest.java
HIVE-16072,2.2.0,llap-server/src/java/org/apache/hadoop/hive/llap/metrics/LlapDaemonJvmInfo.java
HIVE-16072,2.2.0,llap-server/src/java/org/apache/hadoop/hive/llap/metrics/LlapDaemonJvmMetrics.java
HIVE-15956,2.2.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/ObjectStore.java
HIVE-15849,2.2.0,hplsql/src/test/java/org/apache/hive/hplsql/TestHplsqlUdf.java
HIVE-15849,2.2.0,hplsql/src/test/java/org/apache/hive/hplsql/TestHplsqlUdf.java
HIVE-15847,2.2.0,ql/src/java/org/apache/hadoop/hive/ql/exec/tez/monitoring/RenderStrategy.java
HIVE-15654,2.2.0,ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezJobMonitor.java
HIVE-15654,2.2.0,ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezJobMonitor.java
HIVE-15644,2.2.0,common/src/java/org/apache/hadoop/hive/common/JvmMetrics.java
HIVE-15644,2.2.0,common/src/java/org/apache/hadoop/hive/common/JvmMetricsInfo.java
