Bug,FileName,AvgCyclomatic,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
0,AbstractHiveAuthorizer.java,1.0,8.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,1.0,,,,1.0,1.0,0.0,,,,1.0,,,0.0,,0.0,0.0,1.0,,41.0,4.0,7.0,4.0,1.0,30.0,,,,2.0,4.0,3.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,4.29,1.0,1.0,1.0,1.0,1.0
0,AbstractHiveService.java,1.0,6.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,17.0,,,,17.0,17.0,6.0,,,,17.0,,,0.0,,0.0,2.0,15.0,,159.0,22.0,78.0,30.0,30.0,59.0,,,,36.0,58.0,31.0,,28.0,,,,,,2.0,2.0,2.0,2.0,1.0,,1.0,,,0.76,20.0,20.0,20.0,20.0,17.0
0,AbstractIndexHandler.java,2.0,6.0,0.0,6.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,0.0,3.0,,,,3.0,2.0,0.0,,,,3.0,,,0.0,,0.0,0.0,3.0,,58.0,7.0,28.0,14.0,9.0,23.0,,,,17.0,23.0,14.0,,10.0,,,,,,3.0,3.0,3.0,3.0,1.0,,2.0,,,0.82,5.0,5.0,5.0,5.0,3.0
0,AbstractJoinTaskDispatcher.java,5.0,26.0,1.0,21.0,4.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,5.0,,,,6.0,6.0,1.0,,,,6.0,,,0.0,,0.0,2.0,4.0,,187.0,14.0,130.0,52.0,68.0,43.0,,,,64.0,98.0,50.0,,60.0,,,,,,7.0,7.0,7.0,7.0,4.0,,5.0,,,0.33,25.0,25.0,26.0,26.0,8.0
0,AbstractMapJoin.java,2.0,17.0,3.0,13.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,0.0,6.0,,,,6.0,2.0,8.0,,,,6.0,,,0.0,,3.0,2.0,1.0,,179.0,28.0,130.0,82.0,43.0,21.0,,,,72.0,83.0,61.0,,26.0,,,,,,2.0,2.0,2.0,2.0,1.0,,1.0,,,0.16,11.0,11.0,12.0,12.0,6.0
0,AbstractMapJoinOperator.java,1.0,9.0,1.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,7.0,,,,7.0,7.0,5.0,,,,7.0,,,0.0,,0.0,3.0,4.0,,120.0,20.0,75.0,40.0,33.0,26.0,,,,42.0,54.0,33.0,,25.0,,,,,,3.0,3.0,3.0,3.0,1.0,,1.0,,,0.35,10.0,10.0,10.0,10.0,7.0
0,AbstractMapJoinTableContainer.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,2.0,4.0,,,,4.0,3.0,1.0,,,,4.0,,,0.0,,0.0,3.0,1.0,,51.0,8.0,25.0,14.0,9.0,18.0,,,,14.0,19.0,13.0,,7.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.72,4.0,4.0,4.0,4.0,4.0
0,AbstractMapOperator.java,2.0,7.0,0.0,6.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,1.0,11.0,,,,14.0,16.0,7.0,,,,16.0,,,0.0,,1.0,2.0,13.0,,179.0,30.0,100.0,50.0,43.0,49.0,,,,55.0,75.0,44.0,,39.0,,,,,,6.0,6.0,7.0,7.0,3.0,,2.0,,,0.49,17.0,17.0,20.0,20.0,11.0
0,AbstractMessageHandler.java,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,3.0,,,,3.0,3.0,4.0,,,,3.0,,,0.0,,0.0,0.0,3.0,,48.0,7.0,24.0,19.0,7.0,17.0,,,,15.0,19.0,16.0,,7.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.71,3.0,3.0,3.0,3.0,3.0
0,AbstractOperatorDesc.java,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,19.0,,,,19.0,19.0,8.0,,,,19.0,,,0.0,,0.0,0.0,19.0,,136.0,28.0,86.0,47.0,22.0,22.0,,,,33.0,53.0,34.0,,19.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.26,19.0,19.0,19.0,19.0,19.0
